No.,文
1,織田 信長（おだ のぶなが）は、戦国時代から安土桃山時代にかけての武将・戦国大名。
2,三英傑の一人。
3,尾張国（現在の愛知県）の古渡城主・織田信秀の嫡男[注釈 5]。
4,尾張守護代の織田氏の中でも庶流・弾正忠家の生まれであったが、父の代から主家の清洲織田氏（織田大和守家）や尾張守護の斯波氏（斯波武衛家）をも凌ぐ力をつけて、家督争いの混乱を収めて尾張を統一し、桶狭間の戦いで今川義元を討ち取ると、婚姻による同盟策などを駆使しながら領土を拡大した。
5,足利義昭を奉じて上洛すると、将軍、次いでは天皇の権威を利用して天下に号令した。
6,後には義昭を追放して室町幕府を事実上滅ぼして、畿内を中心に強力な中央集権的政権（織田政権）を確立して天下人となった。
7,これによって他の有力な大名を抑え、戦国乱世の終焉に道筋をつけた。
8,しかし天正10年6月2日（1582年6月21日）、重臣・明智光秀に謀反を起こされ、本能寺で自害した。
9,すでに家督を譲っていた嫡男・織田信忠も同日に二条城で自刃し、信長の政権は、豊臣秀吉による豊臣政権、徳川家康が開いた江戸幕府へと引き継がれていくことになる。
10,天文3年（1534年）5月12日、尾張国の戦国大名・織田信秀の嫡男として誕生。
11,生まれは勝幡城（現在の愛知県愛西市勝幡町?稲沢市平和町六輪）[5]と那古野城[6][注釈 6]（現在の名古屋市中区）の二説があるが、近年研究者の間では勝幡城説が有力になってきている[7]。
12, 幼名は吉法師（きっぽうし）。
13,なお、信長の生まれた「織田弾正忠家」は、尾張国の守護大名・斯波氏の被官で下四郡（海東郡・海西郡・愛知郡・知多郡）の守護代に補任された織田大和守家（清洲織田家）の家臣にして分家であり、清洲三奉行・古渡城主という家柄であった。
14,母・土田御前が信秀の正室であったため嫡男となり、2歳にして那古野城主となる。
15,幼少から青年期にかけて奇天烈な行動が多く、周囲から尾張の大うつけと称されていた（『信長公記』）。
16,日本へ伝わった種子島銃に関心を持った挿話などが知られる。
17,また、身分にこだわらず、民と同じように町の若者とも戯れていた[8]。
18,まだ世子であった頃、表面的に家臣としての立場を守り潜在的な緊張関係を保ってきた主筋の「織田大和守家」の支配する清洲城下に数騎で火を放つなど、父・信秀も寝耳に水の行動をとり、豪胆さを早くから見せた。
19,また、今川氏へ人質として護送される途中で松平氏家中の戸田康光の裏切りにより織田氏に護送されてきた松平竹千代（後の徳川家康）と幼少期を共に過ごし、後に両者は固い盟約関係を結ぶこととなる。
20,天文15年（1546年）、古渡城にて元服し、上総介信長と称する。
21,天文17年（1548年）、父・信秀と敵対していた美濃国の戦国大名・斎藤道三との和睦が成立すると、その証として道三の娘・濃姫と信長の間で政略結婚が交わされた[注釈 7]。
22,天文18年（1549年）（異説では天文22年（1553年））に信長は正徳寺で道三と会見し、その際に道三はうつけ者と呼ばれていた信長の器量を見抜いたとの逸話がある。
23,また同年には、近江国の国友村に火縄銃500丁を注文したという（『国友鉄砲記』）[注釈 8]。
24,天文20年（1551年）、父・信秀が没したため、家督を継ぐ[注釈 9][注釈 10]。
25,天文22年（1553年）、信長の教育係であった平手政秀が自害。
26,これは諌死であったとも、息子・五郎右衛門と信長の確執のためともされる。
27,信長は嘆き悲しみ、沢彦を開山として政秀寺を建立し、政秀の霊を弔った。
28,天文23年（1554年）には、村木砦の戦いで今川勢を破った。
29,当時、尾張国は今川氏の侵攻により守護の斯波氏の力が衰え、尾張下四郡を支配する守護代であった「織田大和守家」当主で清洲城主の織田信友が実権を掌握していた。
30,信長の父・信秀はその信友に仕える三奉行の一人に過ぎなかったにも関わらず、その智勇をもって尾張中西部に支配権を拡大した。
31,信秀の死後、信長が跡を継ぐと、信友は信長の弟・信行の家督相続を支持して信長と敵対し、天文23年（1554年）に信長謀殺計画を企てるが、信友により傀儡にされていた守護・斯波義統が、計画を信長に密告した。
32,これに激怒した信友は義統の嫡子・斯波義銀が手勢を率いて川狩に出た隙に義統を殺害する。
33,斯波義銀が落ち延びてくると、信長は叔父の守山城主・織田信光と協力し、信友を主君を殺した謀反人として殺害する。
34,こうして織田大和守家は滅び、信長は那古野城から清洲城へ本拠を移し、尾張国の守護所を手中に収めた。
35,これにより、織田氏の庶家の生まれであった信長が名実共に織田氏の頭領となった。
36,なお信光も弘治元年11月26日（1556年1月7日）に死亡している[注釈 11]。
37,弘治2年（1556年）4月、義父・斎藤道三が子の斎藤義龍との戦いで敗死（長良川の戦い）。
38,信長は道三救援のため、木曽川を越え美濃の大浦まで出陣するも、道三を討ち取り、勢いに乗った義龍軍に苦戦し、道三敗死の知らせにより信長自らが殿をしつつ退却した。
39,こうした中、信長の当主としての器量を疑問視した重臣の林秀貞（通勝）・林通具・柴田勝家らは、信長を廃して聡明で知られた弟・信行を擁立しようとした。
40,これに対して信長には佐久間盛重・佐久間信盛・森可成らが味方し、両派は対立する。
41,この出来事の前、信長が四弟・織田信時だけを供に秀貞の城へ出向いた際、通具は信長を捕らえて切腹させることを秀貞に進言したが、秀貞は「三代にわたって恩恵を受けた主君だから」と2人を帰した[14]。
42,道三の死去を好機と見た信行派は、同年8月24日に挙兵して戦うも敗北（稲生の戦い）。
43,その後、末盛城に籠もった信行を包囲するが、生母・土田御前の仲介により、信行・勝家らを赦免した。
44,更に同年中に庶兄の織田信広も斎藤義龍と結んで清洲城の簒奪を企てたが、これは事前に情報を掴んだために未遂に終わり、信広は程なくして降伏し、赦免されている。
45,しかし、弘治3年（1557年）に信行は再び謀反を企てる。
46,この時、稲生の戦いの後より信長に通じていた柴田勝家の密告があり、事態を悟った信長は病と称して信行を清洲城に誘い出し殺害した。
47,直接手を下したのは河尻秀隆とされている[注釈 12]。
48,さらに信長は、同族の犬山城主・織田信清と協力し、旧主・織田大和守家の宿敵で織田一門の宗家であった尾張上四郡（丹羽郡・葉栗郡・中島郡・春日井郡）の守護代・織田伊勢守家（岩倉織田家）の岩倉城主・織田信賢を破って（浮野の戦い）これを追放。
49,新たに守護として擁立した斯波義銀が斯波一族の石橋氏・吉良氏と通じて信長の追放を画策していることが発覚すると、義銀を尾張国から追放した。
50,こうして、永禄2年（1559年）までには尾張国の支配権を確立し、信長は尾張の国主となった。
51,永禄2年（1559年）2月2日、信長は80～100名ほどの軍勢を引き連れて上洛し、室町幕府13代将軍・足利義輝に謁見した。
52,当時、義輝は尾張守護・斯波家（武衛家）の邸宅を改修して住しており、信長はそこへ出仕した[注釈 13]。
53,尾張国統一を果たした翌・永禄3年（1560年）5月、今川義元が尾張国へ侵攻。
54,駿河・遠江の本国に加え三河国を分国として支配する今川氏の軍勢は、2万人とも4万人とも号する大軍であった。
55,織田軍はこれに対して防戦したが総兵力は5,000人。
56,今川軍は、松平元康（後の徳川家康）率いる三河勢を先鋒として、織田軍の城砦を次々と陥落させていった。
57,信長は静寂を保っていたが、永禄3年（1560年）5月19日午後一時、幸若舞『敦盛』を舞った後[注釈 14]、昆布と勝ち栗を前に立ったまま湯漬け（出陣前に、米飯に熱めの湯をかけて食べるのが武士の慣わし）を食べ、出陣し、先ず熱田神宮に参拝。
58,その後、善照寺砦で4,000人の軍勢を整えて出撃。
59,今川軍の陣中に強襲をかけ義元を討ち取った。
60,今川軍は、駿河国に退却した（桶狭間の戦い）。
61,桶狭間の戦いの後、今川氏は三河国の松平氏の離反等により、その勢力を急激に衰退させる。
62,これを機に、信長は今川氏の支配から独立した徳川家康（この頃、松平元康より改名）と手を結ぶことになる。
63,それまで織田家と松平家は敵対関係にあり、幾度も戦っていたが、信長は美濃国の斎藤氏攻略のため、家康も駿河国の今川氏真らに対抗する必要があったため、こちらの利害関係を優先させたものと思われる。
64,両者は永禄5年（1562年）、同盟を結んで互いに背後を固めた（清洲同盟）。
65,この同盟は信長死後あるいは小牧・長久手の戦いまで維持された。
66,永禄6年（1563年）、美濃攻略のため本拠を小牧山城に移す（信長が築いた初めての城）。
